,"Population at 30 June 2023 ('000)","Change over previous year ('000)","Change over previous year (%)"
"New South Wales","8339.3","172.6","2.1"
"Victoria","6812.5","181.8","2.7"
"Queensland","5459.4","138.5","2.6"
"South Australia","1851.7","30.5","1.7"
"Western Australia","2878.6","86.8","3.1"
"Tasmania","572.8","1.7","0.3"
"Northern Territory","252.5","2.2","0.9"
"Australian Capital Territory","466.8","9.9","2.2"
"Australia (a)","26638.5","624.1","2.4"

"a. Includes Other Territories comprising Jervis Bay Territory, Christmas Island, the Cocos (Keeling) Islands and Norfolk Island."

"Source: Australian Bureau of Statistics, National, state and territory population June 2023"