Country,Domain,Sub-Domain,Population
Afghanistan,,,40099460
Africa (UN),,,1393676400
Albania,,,2854710
Algeria,,,44177964
American Samoa,,,45056
Andorra,,,79057
Angola,,,34503776
Anguilla,,,15779
Antigua and Barbuda,,,93229
Argentina,,,45276788
Armenia,,,2790971
Aruba,,,106543
Asia (UN),,,4694576000
Australia,,,25921094
Austria,,,8922086
Azerbaijan,,,10312992
Bahamas,,,407920
Bahrain,,,1463266
Bangladesh,,,169356240
Barbados,,,281204
Belarus,,,9578172
Belgium,,,11611416
Belize,,,400037
Benin,,,12996901
Bermuda,,,64213
Bhutan,,,777500
Bolivia,,,12079474
Bonaire Sint Eustatius and Saba,,,26730
Bosnia and Herzegovina,,,3270948
Botswana,,,2588424
Brazil,,,214326220
British Virgin Islands,,,31145
Brunei,,,445382
Bulgaria,,,6885864
Burkina Faso,,,22100690
Burundi,,,12551215
Cambodia,,,16589031
Cameroon,,,27198632
Canada,,,38155012
Cape Verde,,,587936
Cayman Islands,,,68157
Central African Republic,,,5457165
Chad,,,17179744
Chile,,,19493184
China,,,1425893500
Colombia,,,51516560
Comoros,,,821632
Congo,,,5835814
Cook Islands,,,17028
Costa Rica,,,5153959
Cote d'Ivoire,,,27478250
Croatia,,,4060139
Cuba,,,11256373
Curacao,,,190348
Cyprus,,,1244193
Czechia,,,10510748
Democratic Republic of Congo,,,95894120
Denmark,,,5854246
Djibouti,,,1105562
Dominica,,,72435
Dominican Republic,,,11117873
East Timor,,,1320944
Ecuador,,,17797736
Egypt,,,109262184
El Salvador,,,6314165
Equatorial Guinea,,,1634473
Eritrea,,,3620324
Estonia,,,1328704
Eswatini,,,1192273
Ethiopia,,,120283020
Europe (UN),,,745173760
Falkland Islands,,,3786
Faroe Islands,,,52915
Fiji,,,924615
Finland,,,5535982
France,,,64531450
French Guiana,,,297462
French Polynesia,,,304038
Gabon,,,2341185
Gambia,,,2639922
Georgia,,,3757984
Germany,,,83408560
Ghana,,,32833036
Gibraltar,,,32698
Greece,,,10445368
Greenland,,,56266
Grenada,,,124624
Guadeloupe,,,396057
Guam,,,170546
Guatemala,,,17608484
Guernsey,,,63092
Guinea,,,13531909
Guinea-Bissau,,,2060730
Guyana,,,804571
Haiti,,,11447575
High-income countries,,,1245565600
Honduras,,,10278346
Hong Kong,,,7494580
Hungary,,,9709784
Iceland,,,370338
India,,,1407563900
Indonesia,,,273753180
Iran,,,87923430
Iraq,,,43533590
Ireland,,,4986525
Isle of Man,,,84286
Israel,,,8900057
Italy,,,59240336
Jamaica,,,2827701
Japan,,,124612530
Jersey,,,109634
Jordan,,,11148288
Kazakhstan,,,19196468
Kenya,,,53005616
Kiribati,,,128883
Kosovo,,,1662022
Kuwait,,,4250111
Kyrgyzstan,,,6527742
Land-locked developing countries (LLDC),,,550846400
Laos,,,7425055
Latin America and the Caribbean (UN),,,656098100
Latvia,,,1873926
Least developed countries,,,1099568600
Lebanon,,,5592626
Lesotho,,,2281464
Less developed regions,,,6633179000
"Less developed regions, excluding China",,,5175244300
"Less developed regions, excluding least developed countries",,,5533610500
Liberia,,,5193422
Libya,,,6735280
Liechtenstein,,,39058
Lithuania,,,2786652
Low-income countries,,,718255100
Lower-middle-income countries,,,3396756500
Luxembourg,,,639330
Macao,,,686616
Madagascar,,,28915652
Malawi,,,19889742
Malaysia,,,33573870
Maldives,,,521469
Mali,,,21904990
Malta,,,526751
Marshall Islands,,,42074
Martinique,,,368799
Mauritania,,,4614981
Mauritius,,,1298922
Mayotte,,,316022
Mexico,,,126705140
Micronesia (country),,,113143
Moldova,,,3061509
Monaco,,,36713
Mongolia,,,3347782
Montenegro,,,627856
Montserrat,,,4438
More developed regions,,,1276116100
Morocco,,,37076588
Mozambique,,,32077074
Myanmar,,,53798090
Namibia,,,2530150
Nauru,,,12533
Nepal,,,30034988
Netherlands,,,17501696
New Caledonia,,,287809
New Zealand,,,5129730
Nicaragua,,,6850546
Niger,,,25252722
Nigeria,,,213401330
Niue,,,1957
North Korea,,,25971910
North Macedonia,,,2103329
Northern America (UN),,,375278940
Northern Mariana Islands,,,49503
Norway,,,5403021
Oceania (UN),,,44491724
Oman,,,4520474
Pakistan,,,231402110
Palau,,,18050
Palestine,,,5133393
Panama,,,4351264
Papua New Guinea,,,9949438
Paraguay,,,6703802
Peru,,,33715464
Philippines,,,113880340
Poland,,,38307724
Portugal,,,10290109
Puerto Rico,,,3256030
Qatar,,,2688239
Reunion,,,966132
Romania,,,19328558
Russia,,,145102750
Rwanda,,,13461891
Saint Barthelemy,,,10888
Saint Helena,,,5428
Saint Kitts and Nevis,,,47631
Saint Lucia,,,179663
Saint Martin (French part),,,31964
Saint Pierre and Miquelon,,,5905
Saint Vincent and the Grenadines,,,104340
Samoa,,,218781
San Marino,,,33772
Sao Tome and Principe,,,223118
Saudi Arabia,,,35950396
Senegal,,,16876726
Serbia,,,7296771
Seychelles,,,106486
Sierra Leone,,,8420642
Singapore,,,5941063
Sint Maarten (Dutch part),,,44061
Slovakia,,,5447621
Slovenia,,,2119408
Small island developing states (SIDS),,,73767220
Solomon Islands,,,707855
Somalia,,,17065588
South Africa,,,59392256
South Korea,,,51830136
South Sudan,,,10748278
Spain,,,47486932
Sri Lanka,,,21773438
Sudan,,,45657204
Suriname,,,612989
Sweden,,,10467095
Switzerland,,,8691409
Syria,,,21324366
Taiwan,,,23859904
Tajikistan,,,9750078
Tanzania,,,63588332
Thailand,,,71601100
Togo,,,8644829
Tokelau,,,1869
Tonga,,,106034
Trinidad and Tobago,,,1525671
Tunisia,,,12262949
Turkey,,,84775410
Turkmenistan,,,6341850
Turks and Caicos Islands,,,45141
Tuvalu,,,11229
Uganda,,,45853780
Ukraine,,,43531424
United Arab Emirates,,,9365149
United Kingdom,,,67281040
United States,,,336997630
United States Virgin Islands,,,100100
Upper-middle-income countries,,,2519863600
Uruguay,,,3426265
Uzbekistan,,,34081452
Vanuatu,,,319146
Venezuela,,,28199862
Vietnam,,,97468024
Wallis and Futuna,,,11654
Western Sahara,,,565590
World,,,7909295000
Yemen,,,32981644
Zambia,,,19473132
Zimbabwe,,,15993525
United States,Alabama,,5024356
United States,Alaska,,733378
United States,Arizona,,7151507
United States,Arkansas,,3011555
United States,California,,39538245
United States,Colorado,,5773733
United States,Connecticut,,3605942
United States,Delaware,,989957
United States,District of Columbia,,689546
United States,Florida,,21538226
United States,Georgia,,10711937
United States,Hawaii,,1455273
United States,Idaho,,1839092
United States,Illinois,,12812545
United States,Indiana,,6785668
United States,Iowa,,3190372
United States,Kansas,,2937847
United States,Kentucky,,4505893
United States,Louisiana,,4657749
United States,Maine,,1362341
United States,Maryland,,6177213
United States,Massachusetts,,7029949
United States,Michigan,,10077325
United States,Minnesota,,5706504
United States,Mississippi,,2961288
United States,Missouri,,6154920
United States,Montana,,1084197
United States,Nebraska,,1961489
United States,Nevada,,3104624
United States,New Hampshire,,1377518
United States,New Jersey,,9289031
United States,New Mexico,,2117527
United States,New York,,20201230
United States,North Carolina,,10439414
United States,North Dakota,,779091
United States,Ohio,,11799374
United States,Oklahoma,,3959346
United States,Oregon,,4237291
United States,Pennsylvania,,13002689
United States,Rhode Island,,1097371
United States,South Carolina,,5118429
United States,South Dakota,,886677
United States,Tennessee,,6910786
United States,Texas,,29145428
United States,Utah,,3271614
United States,Vermont,,643085
United States,Virginia,,8631384
United States,Washington,,7705247
United States,West Virginia,,1793755
United States,Wisconsin,,5893725
United States,Wyoming,,576837
United States,Puerto Rico,,3285874
Australia,New South Wales,,8339300
Australia,Victoria,,6812500
Australia,Queensland,,5459400
Australia,South Australia,,1851700
Australia,Western Australia,,2878600
Australia,Tasmania,,572800
Australia,Northern Territory,,252500
Australia,Australian Capital Territory,,466800
Canada,Alberta,,4601314
Canada,British Columbia,,5368266
Canada,Manitoba,,1420228
Canada,New Brunswick,,820786
Canada,Newfoundland,,528818
Canada,Northwest Territory,,45602
Canada,Nova Scotia,,1030953
Canada,Nunavut,,40586
Canada,Ontario,,15262660
Canada,Prince Edward Island,,172707
Canada,Quebec,,8751352
Canada,Saskatchewan,,1205119
Canada,Yukon,,43964
Puerto Rico,San Juan,,399474
Peru,Iquitos,,498000
"Hong Kong SAR, China",,,6731000
Viet Nam,,,81480000
"Taiwan, China",,,22600000
Republic of Ireland,,,3997000
Republic of Korea,,,47890000
"Macao SAR, China",,,462533
Russian Federation,,,144600000